0-##221118 @!HUGH-DOWNS ,"[6, "" Good evening . I 'm Hugh Downs ""]"
1- BARBARA WALTERS ,"[9, "" And I 'm Barbara Walters . And this is 20/20 ""]"
2-ANNOUNCER,"[35, "" From ABC News , around the world and into your home , the stories that touch your life . With Hugh Downs and Barbara Walters , this is 20/20 . Tonight , sleepwalking , it 's not what you think it is . ""]"
"3-Dr CARLOS SCHENCK , Psychiatrist ","[5, "" It 's amazing . Superhuman strength ""]"
"4- SANDY SEEKON , Sleepwalker ","[8, "" It 's like you 're a different person ""]"
5-ANNOUNCER,"[24, "" Not really conscious , but not really asleep . There 's potential for danger and bizarre behavior . Mel Abel knows . One night , he attacked his wife ""]"
"6- HARRIET ABEL , Wife of Sleepwalker ","[14, ' And I jumped up and I said ,  What in the devil are you doing ']"
"7-  MEL ABEL , Sleepwalker ","[14, ' I thought ,  Oh , my God . I could have broke her neck and killed her ']"
8-  ANNOUNCER ,"[36, ' It has happened . John Stossel reports experts call sleepwalking  The           something happens to you , what would happen to your best friend . If you leave him everything , will he land in heaven or flounder in legal limbo ']"
"9- WILL BOLGER , Pet Owner ","[10, ' The animals are really victims . They really become victims themselves ']"
10-ANNOUNCER,"[11, ' Something to think about ,  Who Will Love My Pet .  Joe Giarranto ']"
11- Address ,"[12, ' Death Row . Ten years ago , he confessed to a brutal double murder ']"
"12- JOE GIARRATANO , Death Row Inmate ","[11, ' You know , I was scared . I felt that I was evil ']"
13-ANNOUNCER,"[38, "" Did he do it . That 's the question , after his total transformation . Lynn Sherr with a mysterious case and a puzzling personality . Joe Giarratano ,  Is He a Killer .  Those stories tonight , January 12 , 1990 . Is He a Killer ""]"
14- DOWNS ,"[39, "" A convicted killer proclaims he 's innocent . How many times have you heard that story . What 's different about Joe Giarratano is how he reached that conclusion . It was a journey of self- discovery           led to a startling revelation ""]"
15-WALTERS,"[74, ' Well , this is a man who says that the best days of his life have been his years on Death Row . This is a man who is so personable now that you wonder how he could have been found guilty of such a horrible double murder . Lynn Sherr has the story of Joe Giarratano and his growing number of friends and supporters . You watch and listen and then ask yourself ,  Is He a Killer ']"
"16-  JOE GIARRATANO , Death Row Inmate ","[49, "" I 've lived more here on Death Row and have been happier here on Death Row than I 've ever been in my life . I did n't have a life before this . I was - I did n't know anything beyond sticking a needle in my arm and getting drunk ""]"
17- LYNN SHERR ,"[122, ""  It is a strange place to begin your life , in a six-by nine-foot cell on Death Row at Mecklenburg Correctional Center in Virginia . But for Joe Giarratano , 33 , the ten years he 's spent waiting           self-discovery . He was convicted of rape and a double murder , but in the process of recapturing his own sense of worth , he is also making a case for his own innocence . Joe 's story begins here in Norfolk , Virginia where he was working as a fisherman in 1979 . He 'd fled an abusive family situation in Florida and at 22 was already a heavy user of alcohol and drugs . interviewing If I had run into you during that period of your life , what would I have seen . ""]"
18-Mr GIARRATANO ,"[31, "" Just somebody who was n't in touch with anything , just stayed to himself , set off in a corner . Just did n't talk , did n't do much of anything but stay high ""]"
19-SHERR,"[131, ""  Joe shared a walk-up apartment in this building with two women , Toni Klein and her 15-year- old daughter Michelle . It was a house and a neighborhood of drifters. on camera But on the night of February 4th , Joe was planning to move out , so he came back here to pick up           Klein were murdered . Police found their bodies inside the apartment , a scene that was variously described by law enfforcement officials as  bloody , gruesome and chilling .   Toni Klein 's corpse was lying in a pool of blood on the bathroom floor . She had been viciously stabbed . Michelle Klein 's half-naked body was found in her bed , sexually abused , with bruises and scratches on her neck . She had been strangled . The only thing Joe Giarratano now says he remembers is waking up . ""]"
20-Mr GIARRATANO ,"[70, ' I got up off the couch in the living room and saw Toni in the bathroom on the floor with blood everywhere and I just freaked out . I panicked . And I remember getting on the bus and by the time I got to Jacksonville , I just - I guess I convinced myself that I had did it and walked up to a cop who was eating breakfast and turned myself in ']"
21-SHERR,"[10, ' Why were you so convinced that you had killed them . ']"
22-Mr GIARRATANO ,"[25, ' Well , you know ,           there . Nothing was making any sense to me and I just - you know , I was scared . I felt that I was evil ']"
23-SHERR,"[67, "" Although he says he had no memories of the crime , Joe was so convinced of his own guilt he confessed five separate times to police . He was so repelled by what he thought was his own evil , he tried to commit suicide . When the state 's psychiatrists declared him competent to stand trial , Joe turned down a plea bargain , one that would have guaranteed him life imprisonment . ""]"
24-Mr GIARRATANO ,"[25, ' In my mind , I had killed Toni and Michelle and I needed to be punished for that and I deserved to be punished for that ']"
25-SHERR,"[5, ' And you wanted to lose . ']"
26-Mr GIARRATANO ,"[9, ' And I wanted to lose . I wanted to die ']"
27-SHERR,"[84, "" At his trial , which took one day , Joe was found guilty of raping and murdering Michelle Klein and of murdering Toni Klein . By law , the death penalty here in Virginia is not automatic . It 's           character and past record . In this case , the judge sentenced Joe to the electric chair . That is exactly what Joe said he wanted . But despite his resolve to pay for his crime , a number of people kept insisting that even if guilty , Joe should not go to the chair . ""]"
"28-Dr ROBERT SHOWALTER , Forensic Psychiatrist ","[12, ' I determined that Joe was , indeed , suffering from very significant mental illness ']"
29-SHERR,"[32, ""  .Dr Robert Showalter , a forensic psychiatrist , testified for the defense that Joe 's mental state disqualified him from the death penalty . His evaluation was based on hours of videotaped sessions with Joe . ""]"
30-Dr SHOWALTER ,"[55, ' It was very difficult for Joe to look me or any other member of the staff at the forensic clinic in the eye . It became obvious that he was not speaking with a normal flow . It was as though he were off , almost looking at something from a distance and then he would come back . ']"
31-Mr GIARRATANO ,"[30, "" It was a feeling that I was n't connected to anything           around me , but I was n't a part of it . I was n't connected to it in any way ""]"
